,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Spectral Class,Star color_Blue,Star color_Blue ,Star color_Blue White,Star color_Blue white,Star color_Blue white ,Star color_Blue-White,Star color_Blue-white,Star color_Orange,Star color_Orange-Red,Star color_Pale yellow orange,Star color_Red,Star color_White,Star color_White-Yellow,Star color_Whitish,Star color_Yellowish,Star color_Yellowish White,Star color_white,Star color_yellow-white,Star color_yellowish
0,0.15160155754811955,0.14732859238082185,0.24344214649946344,0.8767979987492184,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0.14878969321866986,0.07938135226520743,0.23554629887003734,0.8918073796122579,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,0.09691690051980917,0.05725408011473915,0.2020942738001064,0.9574734208880551,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,0.12140158643341259,0.039690676132603686,0.23853499417841828,0.893370856785491,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,0.0,0.02361742788252985,0.20288397005046205,1.0,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,0.12608807727216842,0.09074610221574841,0.20820609850836932,0.9036898061288307,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6,0.10158549314547383,0.09577396378516334,0.21983818373608507,0.9111944965603503,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7,0.09691690051980917,0.06971551355463129,0.19718712147906126,0.91682301438399,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,0.10321027298061658,0.09333294143716114,0.20820609850836932,0.9183864915572234,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9,0.10938600539586218,0.03512680796427087,0.22172799464121573,0.8746091307066918,0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
10,0.2044338792244087,0.15552592828858125,0.3323673666614959,0.7070043777360852,1,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
11,0.15810617813918704,0.2177601004856781,0.3077156497473755,0.741400875547217,1,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12,0.15863370829192824,0.06971551355463129,0.25496168029727917,0.7858036272670421,1,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,0.2069936534581025,0.18325022418741402,0.31127347242552506,0.7004377736085055,1,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14,0.10321027298061658,0.0872789175367667,0.22772653280386534,0.7411507191994997,1,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
